Time,Latitude,Longitude
03-Jul-2020 12:00:00,36.61483,-122.04038
04-Jul-2020 12:00:00,36.18707,-122.22001
05-Jul-2020 12:00:00,35.90376,-122.40875
06-Jul-2020 12:00:00,35.58531,-122.26881
07-Jul-2020 12:00:00,35.17489,-122.29396
08-Jul-2020 12:00:00,34.70376,-122.4427
09-Jul-2020 12:00:00,34.3815,-122.48819
10-Jul-2020 12:00:00,34.06236,-122.62626
11-Jul-2020 12:00:00,33.75486,-122.60873
12-Jul-2020 12:00:00,33.34238,-122.58934
13-Jul-2020 12:00:00,32.86303,-122.54859
14-Jul-2020 12:00:00,32.39577,-122.6277
15-Jul-2020 12:00:00,31.90907,-122.84864
16-Jul-2020 12:00:00,31.5226,-122.97161
17-Jul-2020 12:00:00,31.3134,-122.87364
18-Jul-2020 12:00:00,31.23053,-122.96726
19-Jul-2020 12:00:00,31.00034,-123.05351
20-Jul-2020 12:00:00,30.73325,-123.22343
21-Jul-2020 12:00:00,30.32396,-123.39935
22-Jul-2020 12:00:00,29.94441,-123.51175
23-Jul-2020 12:00:00,29.66196,-123.53129
24-Jul-2020 12:00:00,29.39472,-123.69992
25-Jul-2020 12:00:00,29.12448,-123.95598
26-Jul-2020 12:00:00,28.85891,-124.16817
27-Jul-2020 12:00:00,28.58197,-124.3883
28-Jul-2020 12:00:00,28.37193,-124.59353
29-Jul-2020 12:00:00,28.18519,-124.96301
30-Jul-2020 12:00:00,28.00007,-125.11625
31-Jul-2020 12:00:00,27.79302,-125.55811
01-Aug-2020 12:00:00,27.62574,-125.97791
02-Aug-2020 12:00:00,27.4876,-126.50085
03-Aug-2020 12:00:00,27.43478,-127.0691
04-Aug-2020 12:00:00,27.29084,-127.67327
05-Aug-2020 12:00:00,27.00838,-128.2408
06-Aug-2020 12:00:00,26.78435,-128.97993
07-Aug-2020 12:00:00,26.54864,-129.62328
08-Aug-2020 12:00:00,26.4329,-130.1966
09-Aug-2020 12:00:00,26.2178,-130.9924
10-Aug-2020 12:00:00,25.84858,-131.58926
11-Aug-2020 12:00:00,25.72434,-132.08454
12-Aug-2020 12:00:00,25.53663,-132.60805
13-Aug-2020 12:00:00,25.35453,-133.11382
14-Aug-2020 12:00:00,25.09638,-133.7019
15-Aug-2020 12:00:00,24.89912,-134.30603
16-Aug-2020 12:00:00,24.78231,-134.94361
17-Aug-2020 12:00:00,24.59477,-135.70034
18-Aug-2020 12:00:00,24.38663,-136.5422
19-Aug-2020 12:00:00,24.0804,-137.35849
20-Aug-2020 12:00:00,23.77001,-138.1771
21-Aug-2020 12:00:00,23.60605,-139.06135
